Title 1,Title 2
01/01/2016,0
02/01/2016,0
03/01/2016,0
04/01/2016,0
05/01/2016,0
06/01/2016,0
07/01/2016,0
08/01/2016,0
09/01/2016,0
10/01/2016,0
11/01/2016,0
12/01/2016,86
13/01/2016,149
14/01/2016,133
15/01/2016,78
16/01/2016,0
17/01/2016,0
18/01/2016,96
19/01/2016,70
20/01/2016,99
21/01/2016,88
22/01/2016,0
23/01/2016,0
24/01/2016,0
25/01/2016,221
26/01/2016,325
27/01/2016,128
28/01/2016,0
29/01/2016,0
30/01/2016,0
31/01/2016,0
01/02/2016,0
02/02/2016,372
03/02/2016,487
04/02/2016,305
05/02/2016,318
06/02/2016,12
07/02/2016,14
08/02/2016,13
09/02/2016,15
10/02/2016,82
11/02/2016,352
12/02/2016,311
13/02/2016,18
14/02/2016,3
15/02/2016,277
16/02/2016,260
17/02/2016,272
18/02/2016,249
19/02/2016,105
20/02/2016,0
21/02/2016,0
22/02/2016,0
23/02/2016,0
24/02/2016,0
25/02/2016,0
26/02/2016,0
27/02/2016,0
28/02/2016,0
29/02/2016,0
01/03/2016,0
02/03/2016,0
03/03/2016,249
04/03/2016,105
05/03/2016,0
06/03/2016,0
07/03/2016,0
08/03/2016,0
09/03/2016,0
10/03/2016,0
11/03/2016,0
12/03/2016,0
13/03/2016,0
14/03/2016,0
15/03/2016,0
16/03/2016,0
17/03/2016,0
18/03/2016,0
19/03/2016,0
20/03/2016,0
21/03/2016,0
22/03/2016,0
23/03/2016,0
24/03/2016,0
25/03/2016,0
26/03/2016,0
27/03/2016,0
28/03/2016,0
29/03/2016,0
30/03/2016,0
31/03/2016,0
01/04/2016,0
02/04/2016,0
03/04/2016,0
04/04/2016,0
05/04/2016,0
06/04/2016,0
07/04/2016,0
08/04/2016,0
09/04/2016,0
10/04/2016,0
11/04/2016,0
12/04/2016,0
13/04/2016,0
14/04/2016,0
15/04/2016,0
16/04/2016,0
17/04/2016,0
18/04/2016,0
19/04/2016,0
20/04/2016,0
21/04/2016,0
22/04/2016,0
23/04/2016,0
24/04/2016,0
25/04/2016,0
26/04/2016,0
27/04/2016,0
28/04/2016,0
29/04/2016,0
30/04/2016,0
01/05/2016,0
02/05/2016,0
03/05/2016,0
04/05/2016,145
05/05/2016,260
06/05/2016,285
07/05/2016,24
08/05/2016,11
09/05/2016,309
10/05/2016,291
11/05/2016,283
12/05/2016,319
13/05/2016,183
14/05/2016,18
15/05/2016,12
16/05/2016,202
17/05/2016,259
18/05/2016,258
19/05/2016,272
20/05/2016,258
21/05/2016,70
22/05/2016,10
23/05/2016,289
24/05/2016,317
25/05/2016,355
26/05/2016,36
27/05/2016,224
28/05/2016,16
29/05/2016,10
30/05/2016,303
31/05/2016,346
01/06/2016,405
02/06/2016,350
03/06/2016,380
04/06/2016,26
05/06/2016,17
06/06/2016,242
07/06/2016,285
08/06/2016,507
09/06/2016,228
10/06/2016,181
11/06/2016,14
12/06/2016,6
13/06/2016,218
14/06/2016,252
15/06/2016,351
16/06/2016,276
17/06/2016,409
18/06/2016,12
19/06/2016,8
20/06/2016,333
21/06/2016,312
22/06/2016,364
23/06/2016,155
24/06/2016,9
25/06/2016,9
26/06/2016,36
27/06/2016,296
28/06/2016,333
29/06/2016,297
30/06/2016,311
01/07/2016,318
02/07/2016,13
03/07/2016,79
04/07/2016,229
05/07/2016,347
06/07/2016,279
07/07/2016,316
08/07/2016,236
09/07/2016,14
10/07/2016,6
11/07/2016,270
12/07/2016,428
13/07/2016,286
14/07/2016,272
15/07/2016,214
16/07/2016,10
17/07/2016,9
18/07/2016,250
19/07/2016,448
20/07/2016,380
21/07/2016,427
22/07/2016,357
23/07/2016,14
24/07/2016,12
25/07/2016,273
26/07/2016,262
27/07/2016,335
28/07/2016,361
29/07/2016,232
30/07/2016,20
31/07/2016,17
01/08/2016,275
02/08/2016,225
03/08/2016,81
04/08/2016,390
05/08/2016,36
06/08/2016,28
07/08/2016,20
08/08/2016,313
09/08/2016,399
10/08/2016,416
11/08/2016,415
12/08/2016,318
13/08/2016,17
14/08/2016,18
15/08/2016,327
16/08/2016,351
17/08/2016,364
18/08/2016,353
19/08/2016,329
20/08/2016,15
21/08/2016,19
22/08/2016,289
23/08/2016,300
24/08/2016,369
25/08/2016,498
26/08/2016,298
27/08/2016,15
28/08/2016,4
29/08/2016,278
30/08/2016,343
31/08/2016,310
01/09/2016,368
02/09/2016,455
03/09/2016,12
04/09/2016,21
05/09/2016,0
06/09/2016,0
07/09/2016,0
08/09/2016,0
09/09/2016,0
10/09/2016,0
11/09/2016,0
12/09/2016,0
13/09/2016,0
14/09/2016,0
15/09/2016,0
16/09/2016,533
17/09/2016,32
18/09/2016,24
19/09/2016,528
20/09/2016,584
21/09/2016,622
22/09/2016,460
23/09/2016,458
24/09/2016,21
25/09/2016,18
26/09/2016,538
27/09/2016,715
28/09/2016,580
29/09/2016,686
30/09/2016,568
01/10/2016,16
02/10/2016,10
03/10/2016,781
04/10/2016,955
05/10/2016,683
06/10/2016,831
07/10/2016,338
08/10/2016,0
09/10/2016,0
10/10/2016,152
11/10/2016,94
12/10/2016,36
13/10/2016,705
14/10/2016,0
15/10/2016,0
16/10/2016,0
17/10/2016,744
18/10/2016,1249
19/10/2016,750
20/10/2016,481
21/10/2016,301
22/10/2016,28
23/10/2016,13
24/10/2016,262
25/10/2016,355
26/10/2016,413
27/10/2016,310
28/10/2016,112
29/10/2016,18
30/10/2016,5
31/10/2016,354
01/11/2016,385
02/11/2016,34
03/11/2016,385
04/11/2016,259
05/11/2016,8
06/11/2016,8
07/11/2016,355
08/11/2016,630
09/11/2016,327
10/11/2016,344
11/11/2016,249
12/11/2016,30
13/11/2016,12
14/11/2016,288
15/11/2016,31
16/11/2016,503
17/11/2016,462
18/11/2016,359
19/11/2016,24
20/11/2016,16
21/11/2016,565
22/11/2016,456
23/11/2016,614
24/11/2016,398
25/11/2016,255
26/11/2016,9
27/11/2016,7
28/11/2016,645
29/11/2016,453
30/11/2016,462
01/12/2016,472
02/12/2016,367
03/12/2016,14
04/12/2016,9
05/12/2016,313
06/12/2016,450
07/12/2016,462
08/12/2016,45
09/12/2016,1155
10/12/2016,7
