"","Data","Temp.Comp.Media","num_macs"
"1","01/06/2016",23.36,405
"2","01/07/2016",21.66,318
"3","01/08/2016",21.78,275
"4","01/09/2016",22.44,368
"5","01/11/2016",24.14,385
"6","02/06/2016",23.32,350
"7","02/08/2016",21.32,225
"8","02/09/2016",22.02,455
"9","02/12/2016",24.98,367
"10","03/03/2016",23.56,249
"11","03/06/2016",22.5,380
"12","03/07/2016",21.54,79
"13","03/08/2016",22.3,81
"14","03/10/2016",23.4,781
"15","03/11/2016",23.92,385
"16","04/03/2016",23.82,105
"17","04/05/2016",23.38,145
"18","04/07/2016",22.26,229
"19","04/08/2016",21.8,390
"20","04/10/2016",23.38,955
"21","04/11/2016",24.26,259
"22","05/05/2016",23.36,260
"23","05/07/2016",22.56,347
"24","05/10/2016",24.1,683
"25","05/12/2016",25.02,313
"26","06/05/2016",22.74,285
"27","06/06/2016",23.6,242
"28","06/07/2016",22.68,279
"29","06/10/2016",24.18,831
"30","06/12/2016",25.32,450
"31","07/06/2016",23.58,285
"32","07/07/2016",22.94,316
"33","07/10/2016",24.5,338
"34","07/11/2016",23.8,355
"35","07/12/2016",25.16,462
"36","08/06/2016",23.8,507
"37","08/08/2016",22,313
"38","08/11/2016",23.84,630
"39","08/12/2016",25.4,45
"40","09/05/2016",21.78,309
"41","09/06/2016",23.8,228
"42","09/08/2016",22.1,399
"43","09/11/2016",24.26,327
"44","09/12/2016",25.02,1155
"45","10/05/2016",23.98,291
"46","10/06/2016",23.8,181
"47","10/08/2016",22.02,416
"48","10/10/2016",24.1,152
"49","10/11/2016",24.08,344
"50","11/05/2016",22.34,283
"51","11/07/2016",22.94,270
"52","11/08/2016",22.54,415
"53","11/10/2016",23.88,94
"54","11/11/2016",24.22,249
"55","12/01/2016",23.98,86
"56","12/02/2016",24.48,311
"57","12/05/2016",23.28,319
"58","12/07/2016",22.84,428
"59","12/08/2016",22.22,318
"60","13/01/2016",24.12,149
"61","13/05/2016",23.88,183
"62","13/06/2016",22.38,218
"63","13/07/2016",21.8,286
"64","13/10/2016",23.4,705
"65","14/01/2016",24.28,133
"66","14/06/2016",22.62,252
"67","14/07/2016",22.2,272
"68","14/11/2016",24.28,288
"69","15/01/2016",24.66,78
"70","15/02/2016",24.64,277
"71","15/06/2016",22.44,351
"72","15/07/2016",22.2,214
"73","15/08/2016",22.88,327
"74","16/05/2016",23.4,202
"75","16/06/2016",22.52,276
"76","16/08/2016",23.2,351
"77","16/09/2016",23.3,533
"78","16/11/2016",24.42,503
"79","17/02/2016",24.54,272
"80","17/05/2016",22.8,259
"81","17/06/2016",22.68,409
"82","17/08/2016",22.86,364
"83","17/10/2016",23.62,744
"84","17/11/2016",24.56,462
"85","18/01/2016",21.46,96
"86","18/02/2016",24.3,249
"87","18/05/2016",23.64,258
"88","18/07/2016",22.78,250
"89","18/08/2016",22.26,353
"90","18/10/2016",23.9,1249
"91","18/11/2016",24.7,359
"92","19/01/2016",23.22,70
"93","19/02/2016",23.98,105
"94","19/05/2016",23.14,272
"95","19/07/2016",22.68,448
"96","19/08/2016",23.22,329
"97","19/09/2016",23.1,528
"98","19/10/2016",24,750
"99","20/01/2016",22.92,99
"100","20/05/2016",23.34,258
"101","20/06/2016",22.28,333
"102","20/07/2016",21.88,380
"103","20/09/2016",23.22,584
"104","20/10/2016",24.06,481
"105","21/01/2016",23.34,88
"106","21/05/2016",23.36,70
"107","21/06/2016",22.96,312
"108","21/07/2016",21.98,427
"109","21/09/2016",23.6,622
"110","21/10/2016",23.78,301
"111","21/11/2016",24.4,565
"112","22/06/2016",20.9,364
"113","22/07/2016",22.16,357
"114","22/09/2016",23.98,460
"115","22/11/2016",24.22,456
"116","23/05/2016",23.92,289
"117","23/06/2016",22.22,155
"118","23/08/2016",22.66,300
"119","23/09/2016",23.78,458
"120","23/11/2016",24.1,614
"121","24/05/2016",22.58,317
"122","24/08/2016",23.04,369
"123","24/10/2016",23.92,262
"124","24/11/2016",24.48,398
"125","25/01/2016",24.12,221
"126","25/05/2016",22.6,355
"127","25/07/2016",22.14,273
"128","25/08/2016",22.54,498
"129","25/10/2016",23.4,355
"130","25/11/2016",24.42,255
"131","26/01/2016",24.06,325
"132","26/07/2016",22.04,262
"133","26/08/2016",22.38,298
"134","26/09/2016",23.44,538
"135","26/10/2016",23.82,413
"136","27/01/2016",24.22,128
"137","27/05/2016",23.32,224
"138","27/06/2016",21.68,296
"139","27/07/2016",22,335
"140","27/10/2016",23.78,310
"141","28/06/2016",21.66,333
"142","28/07/2016",21.62,361
"143","28/09/2016",23.84,580
"144","28/10/2016",23.98,112
"145","28/11/2016",24.16,645
"146","29/06/2016",22.34,297
"147","29/07/2016",20.68,232
"148","29/08/2016",22.56,278
"149","29/09/2016",23.64,686
"150","29/11/2016",24.28,453
"151","30/05/2016",22.48,303
"152","30/06/2016",22.14,311
"153","30/08/2016",23.06,343
"154","30/09/2016",23.88,568
"155","30/11/2016",24.48,462
"156","31/05/2016",23.18,346
"157","31/08/2016",21.78,310
"158","31/10/2016",24.02,354
